from,to
county_desc,desc_county
ncid,id_voter
voter_reg_num,id_voter_county
voter_city,addr_city_resi
voter_state,addr_state_resi
voter_zip,addr_zip_resi
ballot_mail_city,addr_city_mail
ballot_mail_state,addr_state_mail
ballot_mail_zip,addr_zip_mail
election_dt,dt_election
voter_party_code,cd_party
ballot_req_delivery_type,cd_ballot_req_delivery
ballot_req_type,cd_ballot_req
ballot_request_party,cd_ballot_party
ballot_req_dt,dt_ballot_req
ballot_send_dt,dt_ballot_send
ballot_rtn_dt,dt_ballot_rtn
ballot_rtn_status,cd_ballot_rtn_status
site_name,nm_site
