from,to
snapshot_dt,dt_election
county_id,cd_county
voter_reg_num,id_voter_county
ncid,id_voter
status_cd,cd_status
reason_cd,cd_status_reason
voter_status_reason_desc,desc_status_reason
last_name,nm_last
first_name,nm_first
res_city_desc,addr_city_resi
state_cd,addr_state_resi
street_name,addr_street_resi
zip_code,addr_zip_resi
mail_city,addr_city_mail
mail_state,addr_state_mail
mail_zipcode,addr_zip_mail
race_code,cd_race
ethnic_code,cd_ethnic
party_cd,cd_party
sex_code,cd_gender
age,age
birth_place,addr_state_born
registr_dt,dt_register
precinct_abbrv,cd_pct
precinct_desc,nm_pct
cong_dist_abbrv,cd_dist_ushr
super_court_abbrv,cd_dist_ncsc
NC_senate_abbrv,cd_dist_ncsen
NC_house_abbrv,cd_dist_nchr
cancellation_dt,dt_cancel
